Problem,Topology,NumNodes,TempFailProb,PermFailProb,GridSize,ItersToConverge
push_sum,grid,75,0,0.1,5,9
push_sum,imperfect_grid,50,0.5,0.1,50,21
push_sum,grid,50,0.1,0.1,25,22
push_sum,imperfect_grid,50,0.5,0,25,51
push_sum,imperfect_grid,20,0,0,5,13
push_sum,line,75,0,0.5,50,7
push_sum,fully_connected,75,0.1,0.1,50,19
push_sum,fully_connected,75,0,0.1,5,12
push_sum,grid,75,0.5,0.1,25,8
push_sum,grid,75,0.1,0.1,25,7
push_sum,grid,75,0.5,0.1,5,9
push_sum,line,50,0,0.5,5,12
push_sum,fully_connected,75,0,0.1,50,9
push_sum,grid,75,0.1,0.5,25,8
push_sum,grid,75,0.1,0.1,5,14
push_sum,imperfect_grid,50,0,0.5,50,10
push_sum,line,20,0.1,0.5,25,8
push_sum,fully_connected,75,0.1,0.5,25,11
push_sum,fully_connected,75,0.1,0.5,5,10
push_sum,line,75,0.1,0.5,5,7
push_sum,line,75,0,0.1,25,8
push_sum,imperfect_grid,50,0,0,25,26
push_sum,line,75,0,0.5,25,9
push_sum,line,50,0.5,0.5,5,7
push_sum,grid,5,0,0,25,550
push_sum,grid,50,0.5,0.5,25,7
push_sum,fully_connected,75,0.5,0.5,50,8
push_sum,grid,75,0,0.1,50,13
push_sum,grid,75,0.5,0.5,5,7
push_sum,line,75,0.5,0.1,5,7
push_sum,line,75,0.1,0.5,25,7
push_sum,line,75,0,0.5,5,10
push_sum,line,75,0.5,0.1,50,12
push_sum,line,75,0,0.1,5,7
push_sum,imperfect_grid,75,0,0.5,5,8
push_sum,grid,50,0,0.1,25,35
push_sum,imperfect_grid,50,0.5,0.1,25,23
push_sum,fully_connected,75,0,0.5,50,8
push_sum,line,75,0.1,0.5,50,7
push_sum,grid,75,0.5,0.5,25,8
push_sum,line,75,0.1,0.1,5,33
push_sum,grid,75,0.5,0.5,50,8
push_sum,imperfect_grid,20,0.5,0,50,42
push_sum,imperfect_grid,75,0,0.1,5,33
push_sum,imperfect_grid,50,0.1,0,50,15
push_sum,line,75,0,0.1,50,9
push_sum,line,75,0.5,0.5,25,7
push_sum,grid,75,0.1,0.1,50,8
push_sum,imperfect_grid,20,0.5,0,25,26
push_sum,grid,75,0.5,0.1,50,11
push_sum,imperfect_grid,50,0.5,0.1,5,24
push_sum,imperfect_grid,75,0,0.1,25,9
push_sum,line,50,0.1,0.1,25,24
push_sum,fully_connected,100,0,0.5,25,9
push_sum,fully_connected,100,0,0.5,5,7
push_sum,line,50,0,0.1,5,15
push_sum,imperfect_grid,50,0.1,0.1,5,24
push_sum,line,75,0.5,0.5,50,8
push_sum,grid,50,0.5,0.1,5,15
push_sum,imperfect_grid,75,0.1,0.1,50,10
push_sum,imperfect_grid,20,0.1,0.1,50,35
push_sum,grid,75,0,0.1,25,18
push_sum,grid,50,0,0.5,5,8
push_sum,imperfect_grid,50,0.1,0.1,25,22
push_sum,line,75,0.5,0.5,5,11
push_sum,grid,20,0.1,0.1,50,19
push_sum,grid,75,0,0.5,5,9
push_sum,fully_connected,75,0.5,0.1,25,18
push_sum,imperfect_grid,75,0.1,0,25,12
push_sum,imperfect_grid,75,0.5,0.5,5,7
push_sum,imperfect_grid,75,0,0.5,50,9
push_sum,fully_connected,75,0.5,0.1,5,18
push_sum,imperfect_grid,75,0.5,0.5,50,9
push_sum,imperfect_grid,75,0.5,0.1,5,19
push_sum,fully_connected,100,0.5,0.5,50,7
push_sum,fully_connected,100,0,0.5,50,8
push_sum,grid,50,0.5,0.1,25,9
push_sum,fully_connected,75,0.1,0.1,25,27
push_sum,grid,100,0.5,0.1,25,7
push_sum,fully_connected,100,0,0.1,5,14
push_sum,grid,100,0,0.5,25,7
push_sum,grid,50,0.5,0.1,50,26
push_sum,grid,50,0.1,0.1,5,37
push_sum,grid,100,0.1,0.1,5,10
push_sum,line,100,0.1,0.5,25,9
push_sum,grid,100,0.5,0.5,5,7
push_sum,grid,100,0.1,0.5,5,8
push_sum,line,75,0.1,0.1,50,12
push_sum,fully_connected,100,0,0.1,50,14
push_sum,line,100,0,0.1,5,10
push_sum,line,75,0.5,0.1,25,27
push_sum,grid,100,0,0.1,25,7
push_sum,imperfect_grid,75,0.5,0.5,25,7
push_sum,line,100,0,0.5,50,7
push_sum,fully_connected,100,0.5,0.5,25,7
push_sum,imperfect_grid,75,0.1,0.5,5,7
push_sum,line,5,0.1,0,5,484
push_sum,fully_connected,100,0.1,0.5,25,8
push_sum,imperfect_grid,75,0,0.1,50,17
push_sum,imperfect_grid,75,0.5,0.1,25,10
push_sum,grid,100,0.1,0.5,50,7
push_sum,imperfect_grid,20,0,0,50,68
push_sum,grid,75,0.1,0.5,50,9
push_sum,fully_connected,100,0.1,0.5,5,7
push_sum,grid,100,0,0.5,50,7
push_sum,fully_connected,75,0,0.1,25,33
push_sum,imperfect_grid,75,0.1,0.5,25,9
push_sum,grid,100,0.5,0.5,50,7
push_sum,grid,100,0.5,0.1,50,11
push_sum,line,100,0.1,0.5,5,7
push_sum,line,100,0.5,0.1,25,18
push_sum,grid,100,0.1,0.1,25,17
push_sum,line,50,0.5,0.5,50,7
push_sum,fully_connected,100,0.1,0.1,25,18
push_sum,line,100,0,0.5,5,7
push_sum,imperfect_grid,75,0.5,0.1,50,24
push_sum,fully_connected,100,0.1,0.1,5,16
push_sum,fully_connected,100,0.5,0.1,5,22
push_sum,grid,100,0.1,0.1,50,12
